시군명,발생년도,발생일자,주야구분명,사고요일,사고유형_대분류,사고유형,법규위반내용,도로형태_대분류,도로형태,당사자1_대분류,당사자1_차종,당사자2_대분류,당사자2_차종,사망자수,중상자수,부상자수,부상신고자수,경상자수
동두천시,2017,2017-12-31 20시,야간,일요일,차대차,정면충돌,중앙선 침범,단일로,기타단일로,승용차,승용차,승용차,승용차,1,1,11,0,9
용인시,2017,2017-12-31 00시,야간,일요일,차대사람,차도통행중,과속,단일로,기타단일로,승용차,승용차,보행자,보행자,1,0,1,0,0
포천시,2017,2017-12-30 07시,주간,토요일,차량단독,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,없음,없음,1,0,1,0,0
시흥시,2017,2017-12-29 21시,야간,금요일,차대차,추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,화물차,화물차,1,0,1,0,0
가평군,2017,2017-12-29 20시,야간,금요일,차량단독,공작물충돌,안전운전 의무 불이행,교차로,교차로내,승용차,승용차,없음,없음,1,0,2,1,0
화성시,2017,2017-12-29 20시,야간,금요일,차대차,측면충돌,중앙선 침범,단일로,기타단일로,승용차,승용차,승합차,승합차,1,0,2,0,1
구리시,2017,2017-12-29 10시,주간,금요일,차대차,측면충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,화물차,화물차,1,0,1,0,0
수원시,2017,2017-12-29 05시,야간,금요일,차대사람,횡단중,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,보행자,보행자,1,0,1,0,0
화성시,2017,2017-12-29 02시,야간,금요일,차대사람,기타,안전운전 의무 불이행,교차로,교차로내,화물차,화물차,보행자,보행자,1,1,2,0,0
동두천시,2017,2017-12-28 22시,야간,목요일,차대사람,차도통행중,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,보행자,보행자,1,0,1,0,0
평택시,2017,2017-12-27 23시,야간,수요일,차대사람,기타,안전운전 의무 불이행,교차로,교차로내,승용차,승용차,보행자,보행자,1,0,1,0,0
포천시,2017,2017-12-27 21시,야간,수요일,차대차,측면충돌,중앙선 침범,단일로,기타단일로,승용차,승용차,승용차,승용차,1,0,2,1,0
용인시,2017,2017-12-27 20시,야간,수요일,차대차,측면충돌,중앙선 침범,단일로,기타단일로,승용차,승용차,승합차,승합차,1,1,2,0,0
양주시,2017,2017-12-27 12시,주간,수요일,차대차,정면충돌,중앙선 침범,단일로,기타단일로,화물차,화물차,승용차,승용차,1,0,1,0,0
안성시,2017,2017-12-27 08시,주간,수요일,차대차,추돌,안전거리 미확보,단일로,기타단일로,승용차,승용차,승용차,승용차,1,0,5,0,4
용인시,2017,2017-12-27 06시,주간,수요일,차대사람,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,보행자,보행자,1,0,1,0,0
고양시,2017,2017-12-26 03시,야간,화요일,차량단독,공작물충돌,중앙선 침범,단일로,기타단일로,승용차,승용차,없음,없음,1,0,1,0,0
화성시,2017,2017-12-25 14시,주간,월요일,차대차,정면충돌,중앙선 침범,단일로,기타단일로,승용차,승용차,건설기계,건설기계,1,0,2,0,1
파주시,2017,2017-12-25 10시,주간,월요일,차대사람,보도통행중,보행자 보호의무 위반,교차로,교차로횡단보도내,승용차,승용차,보행자,보행자,1,0,1,0,0
양평군,2017,2017-12-23 19시,야간,토요일,차대사람,횡단중,안전운전 의무 불이행,교차로,교차로내,화물차,화물차,보행자,보행자,1,0,1,0,0
의정부시,2017,2017-12-23 16시,주간,토요일,차대사람,횡단중,안전운전 의무 불이행,단일로,기타단일로,승합차,승합차,보행자,보행자,1,0,1,0,0
수원시,2017,2017-12-22 19시,야간,금요일,차대차,측면충돌,교차로 통행방법 위반,교차로,교차로내,승용차,승용차,이륜차,이륜차,1,0,1,0,0
수원시,2017,2017-12-22 14시,주간,금요일,차대사람,횡단중,안전운전 의무 불이행,교차로,교차로내,화물차,화물차,보행자,보행자,1,0,1,0,0
오산시,2017,2017-12-22 10시,주간,금요일,차대차,기타,안전운전 의무 불이행,교차로,교차로내,자전거,자전거,승합차,승합차,1,0,1,0,0
평택시,2017,2017-12-22 05시,야간,금요일,차대차,기타,안전운전 의무 불이행,단일로,기타단일로,승합차,승합차,화물차,화물차,1,0,1,0,0
시흥시,2017,2017-12-22 05시,야간,금요일,차대사람,횡단중,보행자 보호의무 위반,단일로,기타단일로,화물차,화물차,보행자,보행자,1,0,1,0,0
안산시,2017,2017-12-21 00시,야간,목요일,차대차,기타,안전운전 의무 불이행,단일로,지하차도(도로)내,승용차,승용차,승용차,승용차,1,0,1,0,0
시흥시,2017,2017-12-20 19시,야간,수요일,차대사람,횡단중,안전운전 의무 불이행,교차로,교차로횡단보도내,승용차,승용차,보행자,보행자,1,0,1,0,0
의정부시,2017,2017-12-20 05시,야간,수요일,차대차,측면충돌,안전운전 의무 불이행,교차로,교차로횡단보도내,화물차,화물차,기타,기타,1,0,1,0,0
안성시,2017,2017-12-19 19시,야간,화요일,차대사람,횡단중,신호위반,교차로,교차로내,승용차,승용차,보행자,보행자,1,0,1,0,0
동두천시,2017,2017-12-18 21시,야간,월요일,차대사람,횡단중,과속,단일로,기타단일로,승용차,승용차,보행자,보행자,1,0,1,0,0
포천시,2017,2017-12-15 22시,야간,금요일,차대사람,차도통행중,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,1,0,1,0,0
포천시,2017,2017-12-15 20시,야간,금요일,차대사람,차도통행중,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,보행자,보행자,1,0,1,0,0
양주시,2017,2017-12-15 17시,주간,금요일,차대차,측면충돌,안전운전 의무 불이행,교차로,교차로부근,승용차,승용차,이륜차,이륜차,1,0,1,0,0
부천시,2017,2017-12-15 07시,주간,금요일,차대사람,횡단중,보행자 보호의무 위반,교차로,교차로횡단보도내,화물차,화물차,보행자,보행자,1,0,1,0,0
남양주시,2017,2017-12-15 03시,야간,금요일,차대차,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,승용차,승용차,1,0,1,0,0
평택시,2017,2017-12-15 02시,야간,금요일,차대사람,차도통행중,과속,단일로,기타단일로,승용차,승용차,보행자,보행자,1,0,1,0,0
화성시,2017,2017-12-14 14시,주간,목요일,차대차,기타,중앙선 침범,교차로,교차로부근,화물차,화물차,승용차,승용차,1,0,2,0,1
안성시,2017,2017-12-14 07시,주간,목요일,차대차,측면충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,승용차,승용차,1,0,2,0,1
화성시,2017,2017-12-14 04시,야간,목요일,차량단독,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,없음,없음,1,0,1,0,0
김포시,2017,2017-12-13 04시,야간,수요일,차량단독,전도전복,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,없음,없음,1,0,1,0,0
이천시,2017,2017-12-12 15시,주간,화요일,차량단독,공작물충돌,안전운전 의무 불이행,교차로,교차로부근,승용차,승용차,없음,없음,1,0,1,0,0
광주시,2017,2017-12-10 05시,야간,일요일,차대차,추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,승합차,승합차,1,0,3,0,2
광주시,2017,2017-12-09 06시,주간,토요일,차대차,정면충돌,중앙선 침범,단일로,기타단일로,원동기장치자전거,원동기장치자전거,승용차,승용차,1,1,2,0,0
안양시,2017,2017-12-09 02시,야간,토요일,차대사람,횡단중,보행자 보호의무 위반,교차로,교차로횡단보도내,승용차,승용차,보행자,보행자,1,0,1,0,0
고양시,2017,2017-12-08 23시,야간,금요일,차량단독,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,없음,없음,1,1,2,0,0
용인시,2017,2017-12-08 21시,야간,금요일,차대차,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,이륜차,이륜차,1,0,1,0,0
수원시,2017,2017-12-08 16시,주간,금요일,차대사람,차도통행중,안전운전 의무 불이행,단일로,기타단일로,승합차,승합차,보행자,보행자,1,0,1,0,0
부천시,2017,2017-12-08 09시,주간,금요일,차대사람,기타,안전운전 의무 불이행,교차로,교차로내,화물차,화물차,보행자,보행자,1,0,1,0,0
평택시,2017,2017-12-08 06시,주간,금요일,차량단독,공작물충돌,안전운전 의무 불이행,교차로,교차로내,승용차,승용차,없음,없음,1,0,1,0,0
시흥시,2017,2017-12-08 05시,야간,금요일,차대차,측면충돌,중앙선 침범,단일로,고가도로위,승용차,승용차,승용차,승용차,2,2,9,0,5
수원시,2017,2017-12-08 01시,야간,금요일,차대차,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,승용차,승용차,1,1,2,0,0
평택시,2017,2017-12-07 23시,야간,목요일,차대차,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,승용차,승용차,1,1,5,0,3
군포시,2017,2017-12-07 18시,야간,목요일,차대사람,기타,안전운전 의무 불이행,단일로,기타단일로,승합차,승합차,보행자,보행자,1,0,1,0,0
성남시,2017,2017-12-06 20시,야간,수요일,차대사람,횡단중,신호위반,교차로,교차로횡단보도내,승합차,승합차,보행자,보행자,1,0,1,0,0
부천시,2017,2017-12-06 18시,야간,수요일,차대사람,횡단중,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,보행자,보행자,1,0,1,0,0
화성시,2017,2017-12-05 23시,야간,화요일,차대사람,횡단중,안전운전 의무 불이행,단일로,기타단일로,승합차,승합차,보행자,보행자,1,0,1,0,0
화성시,2017,2017-12-04 07시,주간,월요일,차량단독,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,없음,없음,1,0,1,0,0
용인시,2017,2017-12-03 21시,야간,일요일,차대차,정면충돌,중앙선 침범,단일로,기타단일로,화물차,화물차,화물차,화물차,1,1,2,0,0
시흥시,2017,2017-12-02 01시,야간,토요일,차량단독,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,없음,없음,1,2,5,1,1
하남시,2017,2017-12-01 06시,주간,금요일,차대차,정면충돌,신호위반,교차로,교차로내,승용차,승용차,이륜차,이륜차,1,0,1,0,0
광명시,2017,2017-12-01 05시,야간,금요일,차대차,추돌,안전운전 의무 불이행,단일로,기타단일로,이륜차,이륜차,건설기계,건설기계,1,0,1,0,0
시흥시,2017,2017-12-01 00시,야간,금요일,차량단독,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,없음,없음,1,0,3,0,2
수원시,2017,2017-12-01 00시,야간,금요일,차대사람,차도통행중,안전운전 의무 불이행,단일로,기타단일로,승합차,승합차,보행자,보행자,1,0,1,0,0
수원시,2017,2017-11-30 15시,주간,목요일,차대사람,기타,안전운전 의무 불이행,교차로,교차로내,화물차,화물차,보행자,보행자,1,0,1,0,0
안산시,2017,2017-11-29 12시,주간,수요일,차대차,측면충돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,승용차,승용차,1,4,5,0,0
군포시,2017,2017-11-29 04시,야간,수요일,차대차,기타,안전운전 의무 불이행,단일로,교량위,승용차,승용차,승용차,승용차,1,0,1,0,0
김포시,2017,2017-11-29 01시,야간,수요일,차대차,추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,이륜차,이륜차,1,0,1,0,0
부천시,2017,2017-11-28 18시,야간,화요일,차대사람,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,1,0,1,0,0
수원시,2017,2017-11-28 17시,주간,화요일,차대차,추돌,안전운전 의무 불이행,단일로,교량위,화물차,화물차,승용차,승용차,1,1,5,0,3
광주시,2017,2017-11-27 16시,주간,월요일,차대차,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,화물차,화물차,1,1,2,0,0
부천시,2017,2017-11-26 19시,야간,일요일,차대사람,횡단중,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,보행자,보행자,1,1,2,0,0
양주시,2017,2017-11-26 14시,주간,일요일,차대사람,기타,안전운전 의무 불이행,교차로,교차로내,화물차,화물차,보행자,보행자,1,0,1,0,0
양주시,2017,2017-11-25 16시,주간,토요일,차량단독,공작물충돌,안전운전 의무 불이행,교차로,교차로내,승용차,승용차,없음,없음,1,0,1,0,0
안성시,2017,2017-11-24 18시,야간,금요일,차대사람,횡단중,안전운전 의무 불이행,교차로,교차로부근,승용차,승용차,보행자,보행자,1,0,1,0,0
남양주시,2017,2017-11-24 17시,주간,금요일,차대차,기타,중앙선 침범,단일로,기타단일로,이륜차,이륜차,승용차,승용차,1,0,1,0,0
화성시,2017,2017-11-24 08시,주간,금요일,차대사람,차도통행중,안전운전 의무 불이행,단일로,기타단일로,승합차,승합차,보행자,보행자,1,0,1,0,0
수원시,2017,2017-11-24 01시,야간,금요일,차대사람,기타,안전운전 의무 불이행,교차로,교차로부근,승합차,승합차,보행자,보행자,1,0,1,0,0
수원시,2017,2017-11-23 21시,야간,목요일,차량단독,기타,안전운전 의무 불이행,단일로,기타단일로,개인형이동수단(PM),개인형이동수단(PM),없음,없음,1,0,1,0,0
화성시,2017,2017-11-23 17시,주간,목요일,차대사람,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,1,0,1,0,0
안양시,2017,2017-11-23 06시,주간,목요일,차대사람,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,1,0,1,0,0
이천시,2017,2017-11-22 18시,야간,수요일,차대차,기타,신호위반,교차로,교차로부근,승용차,승용차,승용차,승용차,2,1,6,0,3
포천시,2017,2017-11-22 13시,주간,수요일,차량단독,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,없음,없음,1,0,1,0,0
용인시,2017,2017-11-22 08시,주간,수요일,차대사람,횡단중,신호위반,교차로,교차로내,승합차,승합차,보행자,보행자,1,0,1,0,0
여주시,2017,2017-11-22 07시,주간,수요일,차량단독,기타,안전운전 의무 불이행,단일로,기타단일로,승합차,승합차,없음,없음,1,0,1,0,0
포천시,2017,2017-11-21 22시,야간,화요일,차량단독,전도,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,없음,없음,1,0,1,0,0
평택시,2017,2017-11-21 22시,야간,화요일,차대사람,기타,안전운전 의무 불이행,교차로,교차로부근,승용차,승용차,보행자,보행자,1,0,1,0,0
하남시,2017,2017-11-21 18시,야간,화요일,차대사람,횡단중,중앙선 침범,단일로,기타단일로,화물차,화물차,보행자,보행자,1,0,1,0,0
의정부시,2017,2017-11-21 15시,주간,화요일,차대차,측면충돌,안전운전 의무 불이행,교차로,교차로내,승용차,승용차,승용차,승용차,1,1,3,0,1
화성시,2017,2017-11-21 14시,주간,화요일,차대차,기타,안전거리 미확보,단일로,기타단일로,승용차,승용차,승합차,승합차,1,0,5,0,4
평택시,2017,2017-11-21 13시,주간,화요일,차대차,기타,안전거리 미확보,단일로,기타단일로,승용차,승용차,승용차,승용차,1,0,6,0,5
고양시,2017,2017-11-21 06시,주간,화요일,차대차,추돌,안전운전 의무 불이행,단일로,기타단일로,승합차,승합차,화물차,화물차,1,0,4,3,0
안산시,2017,2017-11-20 06시,주간,월요일,차대사람,보도통행중,과속,단일로,기타단일로,승용차,승용차,보행자,보행자,1,0,1,0,0
평택시,2017,2017-11-20 06시,주간,월요일,차대사람,차도통행중,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,1,0,1,0,0
오산시,2017,2017-11-19 18시,야간,일요일,차대차,측면충돌,교차로 통행방법 위반,교차로,교차로내,승용차,승용차,이륜차,이륜차,1,0,1,0,0
안성시,2017,2017-11-19 18시,야간,일요일,차대차,추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,승용차,승용차,1,0,1,0,0
포천시,2017,2017-11-18 18시,야간,토요일,차대차,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,화물차,화물차,1,0,2,0,1
안성시,2017,2017-11-18 13시,주간,토요일,차대차,측면충돌,신호위반,교차로,교차로내,이륜차,이륜차,화물차,화물차,1,0,1,0,0
김포시,2017,2017-11-18 02시,야간,토요일,차대차,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,승용차,승용차,1,1,2,0,0
남양주시,2017,2017-11-16 23시,야간,목요일,차대차,기타,안전운전 의무 불이행,교차로,교차로내,승용차,승용차,승합차,승합차,1,0,1,0,0
파주시,2017,2017-11-16 22시,야간,목요일,차량단독,전도,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,없음,없음,1,0,1,0,0
남양주시,2017,2017-11-16 04시,야간,목요일,차대차,기타,중앙선 침범,단일로,고가도로위,승용차,승용차,승용차,승용차,1,1,2,0,0
김포시,2017,2017-11-16 00시,야간,목요일,차대차,정면충돌,중앙선 침범,단일로,터널안,승용차,승용차,이륜차,이륜차,1,0,1,0,0
부천시,2017,2017-11-15 14시,주간,수요일,차대사람,횡단중,보행자 보호의무 위반,교차로,교차로내,화물차,화물차,보행자,보행자,1,0,1,0,0
수원시,2017,2017-11-14 23시,야간,화요일,차대차,정면충돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,승용차,승용차,1,0,1,0,0
안산시,2017,2017-11-14 19시,야간,화요일,차대차,측면충돌,신호위반,교차로,교차로내,승용차,승용차,이륜차,이륜차,1,0,1,0,0
고양시,2017,2017-11-14 17시,주간,화요일,차대차,측면충돌,신호위반,교차로,교차로내,승합차,승합차,이륜차,이륜차,1,0,1,0,0
용인시,2017,2017-11-14 13시,주간,화요일,차대차,정면충돌,중앙선 침범,단일로,기타단일로,화물차,화물차,승합차,승합차,2,1,3,0,0
남양주시,2017,2017-11-14 05시,야간,화요일,차대차,기타,안전운전 의무 불이행,단일로,기타단일로,자전거,자전거,승용차,승용차,1,0,1,0,0
성남시,2017,2017-11-13 10시,주간,월요일,차대사람,횡단중,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,보행자,보행자,1,0,1,0,0
성남시,2017,2017-11-12 23시,야간,일요일,차대사람,기타,안전운전 의무 불이행,교차로,교차로내,이륜차,이륜차,보행자,보행자,1,0,1,0,0
파주시,2017,2017-11-12 07시,주간,일요일,차대차,정면충돌,중앙선 침범,단일로,기타단일로,승용차,승용차,건설기계,건설기계,1,0,1,0,0
김포시,2017,2017-11-12 06시,주간,일요일,차대차,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,화물차,화물차,1,0,1,0,0
고양시,2017,2017-11-11 12시,주간,토요일,차대차,측면충돌,안전운전 의무 불이행,교차로,교차로내,승용차,승용차,이륜차,이륜차,1,0,1,0,0
남양주시,2017,2017-11-11 05시,야간,토요일,차대차,추돌,안전운전 의무 불이행,교차로,교차로부근,원동기장치자전거,원동기장치자전거,화물차,화물차,1,0,1,0,0
광주시,2017,2017-11-10 22시,야간,금요일,차대사람,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,1,0,1,0,0
여주시,2017,2017-11-10 11시,주간,금요일,차량단독,전복,안전운전 의무 불이행,교차로,교차로내,승용차,승용차,없음,없음,1,1,2,0,0
광주시,2017,2017-11-10 02시,야간,금요일,차대사람,횡단중,안전운전 의무 불이행,교차로,교차로부근,화물차,화물차,보행자,보행자,1,0,1,0,0
성남시,2017,2017-11-07 18시,야간,화요일,차대사람,횡단중,안전운전 의무 불이행,교차로,교차로부근,승합차,승합차,보행자,보행자,1,0,1,0,0
김포시,2017,2017-11-07 07시,주간,화요일,차대사람,횡단중,신호위반,단일로,기타단일로,승합차,승합차,보행자,보행자,1,1,2,0,0
고양시,2017,2017-11-05 18시,야간,일요일,차대사람,기타,안전운전 의무 불이행,교차로,교차로내,승용차,승용차,보행자,보행자,1,0,1,0,0
의정부시,2017,2017-11-04 13시,주간,토요일,차대사람,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,1,0,1,0,0
남양주시,2017,2017-11-04 10시,주간,토요일,차대차,기타,안전운전 의무 불이행,기타,기타,화물차,화물차,이륜차,이륜차,1,0,1,0,0
용인시,2017,2017-11-03 13시,주간,금요일,차량단독,전복,안전운전 의무 불이행,교차로,교차로부근,승용차,승용차,없음,없음,1,0,1,0,0
양주시,2017,2017-11-03 12시,주간,금요일,차량단독,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,없음,없음,1,0,1,0,0
이천시,2017,2017-11-02 00시,야간,목요일,차대차,기타,보행자 보호의무 위반,교차로,교차로내,승용차,승용차,승용차,승용차,1,0,1,0,0
안산시,2017,2017-11-01 14시,주간,수요일,차대차,측면충돌,안전운전 의무 불이행,단일로,기타단일로,원동기장치자전거,원동기장치자전거,승용차,승용차,1,0,1,0,0
수원시,2017,2017-11-01 04시,야간,수요일,차대차,추돌,안전운전 의무 불이행,기타,기타,이륜차,이륜차,화물차,화물차,1,0,1,0,0
포천시,2017,2017-10-31 20시,야간,화요일,차대사람,차도통행중,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,1,0,1,0,0
부천시,2017,2017-10-31 05시,야간,화요일,차대차,측면충돌,차로위반(진로변경 위반),단일로,교량위,화물차,화물차,승용차,승용차,1,2,4,0,1
안산시,2017,2017-10-31 03시,야간,화요일,차대사람,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,1,0,1,0,0
용인시,2017,2017-10-30 07시,주간,월요일,차대차,측면충돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,건설기계,건설기계,1,1,2,0,0
용인시,2017,2017-10-30 00시,야간,월요일,차량단독,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,없음,없음,1,0,1,0,0
양평군,2017,2017-10-28 21시,야간,토요일,차량단독,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,없음,없음,2,0,2,0,0
파주시,2017,2017-10-27 23시,야간,금요일,차대사람,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,1,0,1,0,0
고양시,2017,2017-10-27 21시,야간,금요일,차량단독,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,없음,없음,1,0,1,0,0
광주시,2017,2017-10-26 17시,주간,목요일,차대사람,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,1,0,1,0,0
양주시,2017,2017-10-26 04시,야간,목요일,차량단독,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,이륜차,이륜차,없음,없음,1,0,1,0,0
평택시,2017,2017-10-25 18시,야간,수요일,차대사람,기타,안전운전 의무 불이행,교차로,교차로부근,승합차,승합차,보행자,보행자,1,0,1,0,0
포천시,2017,2017-10-24 20시,야간,화요일,차대사람,횡단중,보행자 보호의무 위반,교차로,교차로횡단보도내,승용차,승용차,보행자,보행자,1,0,1,0,0
용인시,2017,2017-10-23 18시,야간,월요일,차대사람,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,1,0,1,0,0
파주시,2017,2017-10-23 09시,주간,월요일,차대차,정면충돌,중앙선 침범,단일로,기타단일로,승용차,승용차,승용차,승용차,1,0,3,0,2
수원시,2017,2017-10-22 14시,주간,일요일,차대차,측면충돌,신호위반,교차로,교차로내,승용차,승용차,승용차,승용차,2,2,4,0,0
군포시,2017,2017-10-22 04시,야간,일요일,차대차,측면충돌,안전거리 미확보,단일로,기타단일로,이륜차,이륜차,승합차,승합차,1,0,2,0,1
시흥시,2017,2017-10-22 01시,야간,일요일,차대사람,횡단중,과속,단일로,기타단일로,승용차,승용차,보행자,보행자,1,0,1,0,0
포천시,2017,2017-10-21 16시,주간,토요일,차량단독,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,없음,없음,1,1,2,0,0
구리시,2017,2017-10-21 16시,주간,토요일,차대차,기타,중앙선 침범,단일로,기타단일로,승용차,승용차,승용차,승용차,2,0,2,0,0
의왕시,2017,2017-10-21 05시,야간,토요일,차대차,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,화물차,화물차,1,0,11,10,0
부천시,2017,2017-10-20 21시,야간,금요일,차대차,추돌,안전운전 의무 불이행,단일로,기타단일로,이륜차,이륜차,화물차,화물차,1,0,1,0,0
양평군,2017,2017-10-20 17시,주간,금요일,차량단독,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,없음,없음,1,0,2,1,0
고양시,2017,2017-10-20 15시,주간,금요일,차대차,정면충돌,중앙선 침범,단일로,기타단일로,화물차,화물차,승용차,승용차,1,2,6,0,3
구리시,2017,2017-10-20 11시,주간,금요일,차대사람,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,1,0,1,0,0
부천시,2017,2017-10-20 05시,야간,금요일,차대차,추돌,안전운전 의무 불이행,교차로,교차로부근,승용차,승용차,승용차,승용차,1,0,2,0,1
안양시,2017,2017-10-19 09시,주간,목요일,차대사람,횡단중,보행자 보호의무 위반,교차로,교차로부근,승합차,승합차,보행자,보행자,1,0,1,0,0
김포시,2017,2017-10-19 06시,주간,목요일,차대차,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,승용차,승용차,1,2,4,0,1
안성시,2017,2017-10-19 00시,야간,목요일,차대차,측면충돌,신호위반,교차로,교차로내,승용차,승용차,승용차,승용차,1,1,3,0,1
안성시,2017,2017-10-18 18시,야간,수요일,차대차,측면충돌,교차로 통행방법 위반,교차로,교차로내,이륜차,이륜차,승용차,승용차,1,0,1,0,0
평택시,2017,2017-10-18 13시,주간,수요일,차대사람,보도통행중,보행자 보호의무 위반,교차로,교차로횡단보도내,승합차,승합차,보행자,보행자,1,0,1,0,0
하남시,2017,2017-10-18 09시,주간,수요일,차대차,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,화물차,화물차,1,0,3,2,0
수원시,2017,2017-10-18 04시,야간,수요일,차대사람,횡단중,과속,단일로,기타단일로,승용차,승용차,보행자,보행자,1,0,1,0,0
안성시,2017,2017-10-18 00시,야간,수요일,차대사람,차도통행중,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,1,1,2,0,0
가평군,2017,2017-10-17 18시,야간,화요일,차대차,추돌,안전운전 의무 불이행,교차로,교차로부근,승합차,승합차,농기계,농기계,1,0,3,0,2
평택시,2017,2017-10-17 15시,주간,화요일,차대차,추돌,안전운전 의무 불이행,단일로,기타단일로,승합차,승합차,화물차,화물차,1,3,13,0,9
평택시,2017,2017-10-17 06시,주간,화요일,차대차,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,이륜차,이륜차,1,0,1,0,0
광주시,2017,2017-10-16 18시,야간,월요일,차대사람,횡단중,보행자 보호의무 위반,교차로,교차로횡단보도내,승합차,승합차,보행자,보행자,1,0,1,0,0
평택시,2017,2017-10-16 16시,주간,월요일,차대차,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,특수차,특수차,1,1,2,0,0
성남시,2017,2017-10-15 23시,야간,일요일,차대차,추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,건설기계,건설기계,1,0,1,0,0
양주시,2017,2017-10-15 04시,야간,일요일,차량단독,전도전복,안전운전 의무 불이행,단일로,기타단일로,이륜차,이륜차,없음,없음,1,0,1,0,0
이천시,2017,2017-10-14 23시,야간,토요일,차대사람,횡단중,신호위반,교차로,교차로내,승용차,승용차,보행자,보행자,1,0,1,0,0
화성시,2017,2017-10-14 14시,주간,토요일,차대사람,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,보행자,보행자,1,0,1,0,0
포천시,2017,2017-10-14 06시,주간,토요일,차대차,기타,안전운전 의무 불이행,단일로,터널안,승용차,승용차,농기계,농기계,1,0,2,0,1
고양시,2017,2017-10-13 18시,야간,금요일,차대사람,기타,안전운전 의무 불이행,교차로,교차로내,승용차,승용차,보행자,보행자,1,0,1,0,0
