시군명,발생년도,발생일자,주야구분명,사고요일,사고유형_대분류,사고유형,법규위반내용,도로형태_대분류,도로형태,당사자1_대분류,당사자1_차종,당사자2_대분류,당사자2_차종,사망자수,중상자수,부상자수,부상신고자수,경상자수
수원시,2012,2012-12-26 18시,야간,수요일,차대사람,기타,보행자 보호의무 위반,교차로,교차로내,승합차,대형,보행자,보행자,1,0,1,0,0
수원시,2012,2012-12-26 04시,야간,수요일,차대사람,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,소형,보행자,보행자,1,0,1,0,0
양주시,2012,2012-12-25 22시,야간,화요일,차대사람,횡단중,안전운전 의무 불이행,교차로,교차로내,승용차,중형,보행자,보행자,1,0,1,0,0
포천시,2012,2012-12-25 17시,주간,화요일,차대사람,보도통행중,기타(운전자법규위반),단일로,기타단일로,이륜차,사발이,보행자,보행자,1,0,1,0,0
군포시,2012,2012-12-25 04시,야간,화요일,차량단독,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,없음,없음,1,1,2,0,0
시흥시,2012,2012-12-24 07시,주간,월요일,차대사람,횡단중,과속,교차로,교차로부근,승용차,소형,보행자,보행자,1,0,1,0,0
남양주시,2012,2012-12-23 23시,야간,일요일,차대사람,횡단중,안전운전 의무 불이행,교차로,교차로부근,승용차,경형,보행자,보행자,1,0,1,0,0
가평군,2012,2012-12-23 18시,야간,일요일,차대차,기타,중앙선 침범,단일로,기타단일로,이륜차,소형,승용차,중형,1,1,2,0,0
안산시,2012,2012-12-22 05시,야간,토요일,차대차,주정차중 추돌,안전운전 의무 불이행,단일로,기타단일로,승합차,소형,화물차,대형,1,0,1,0,0
용인시,2012,2012-12-22 03시,야간,토요일,차량단독,기타,안전운전 의무 불이행,단일로,고가도로위,화물차,소형,없음,없음,1,1,2,0,0
수원시,2012,2012-12-21 03시,야간,금요일,차대차,정면충돌,신호위반,교차로,교차로내,승용차,중형,승합차,경형,1,4,10,0,5
안산시,2012,2012-12-20 20시,야간,목요일,차량단독,전도전복,중앙선 침범,단일로,기타단일로,승합차,소형,없음,없음,1,0,1,0,0
고양시,2012,2012-12-20 05시,야간,목요일,차량단독,공작물충돌,안전운전 의무 불이행,교차로,교차로내,승용차,중형,없음,없음,1,0,1,0,0
파주시,2012,2012-12-20 04시,야간,목요일,차량단독,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,없음,없음,1,0,1,0,0
연천군,2012,2012-12-19 11시,주간,수요일,차량단독,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,없음,없음,1,0,1,0,0
부천시,2012,2012-12-19 07시,주간,수요일,차대차,측면충돌,안전운전 의무 불이행,교차로,교차로부근,이륜차,소형,승용차,중형,1,0,1,0,0
남양주시,2012,2012-12-19 00시,야간,수요일,차대사람,기타,안전운전 의무 불이행,단일로,기타단일로,승합차,중형,보행자,보행자,1,0,1,0,0
안산시,2012,2012-12-18 21시,야간,화요일,차대차,정면충돌,중앙선 침범,단일로,고가도로위,화물차,소형,승용차,중형,1,2,6,0,3
수원시,2012,2012-12-18 01시,야간,화요일,차대사람,차도통행중,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,1,0,1,0,0
화성시,2012,2012-12-17 17시,주간,월요일,차대사람,횡단중,보행자 보호의무 위반,교차로,교차로부근,화물차,소형,보행자,보행자,1,0,1,0,0
광명시,2012,2012-12-16 14시,주간,일요일,차량단독,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,없음,없음,1,0,1,0,0
안산시,2012,2012-12-16 01시,야간,일요일,차대사람,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,소형,보행자,보행자,1,0,1,0,0
시흥시,2012,2012-12-16 00시,야간,일요일,차대차,측면충돌,교차로 통행방법 위반,교차로,교차로내,승용차,중형,이륜차,소형,1,0,1,0,0
안양시,2012,2012-12-16 00시,야간,일요일,차대사람,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,1,0,1,0,0
시흥시,2012,2012-12-15 20시,야간,토요일,차대사람,기타,안전운전 의무 불이행,단일로,기타단일로,승합차,소형,보행자,보행자,1,0,1,0,0
화성시,2012,2012-12-15 06시,주간,토요일,차량단독,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,없음,없음,1,0,1,0,0
김포시,2012,2012-12-15 06시,주간,토요일,차대차,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,소형,건설기계,건설기계,1,1,2,0,0
시흥시,2012,2012-12-15 01시,야간,토요일,차대차,주정차중 추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,소형,승합차,대형,1,0,2,1,0
안양시,2012,2012-12-15 00시,야간,토요일,차대사람,횡단중,신호위반,교차로,교차로부근,승용차,대형,보행자,보행자,1,0,1,0,0
고양시,2012,2012-12-14 07시,주간,금요일,차대차,측면충돌,신호위반,교차로,교차로내,승합차,대형,승용차,중형,1,1,2,0,0
하남시,2012,2012-12-14 07시,주간,금요일,차량단독,도로이탈 추락,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,없음,없음,1,0,1,0,0
평택시,2012,2012-12-14 07시,주간,금요일,차대사람,길가장자리구역통행중,안전운전 의무 불이행,단일로,기타단일로,화물차,경형,보행자,보행자,1,0,1,0,0
광명시,2012,2012-12-14 04시,야간,금요일,차대차,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,화물차,대형,1,0,2,0,1
용인시,2012,2012-12-13 23시,야간,목요일,차대사람,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,1,0,1,0,0
포천시,2012,2012-12-13 23시,야간,목요일,차대사람,길가장자리구역통행중,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,1,0,1,0,0
양주시,2012,2012-12-13 09시,주간,목요일,차대사람,차도통행중,안전운전 의무 불이행,단일로,기타단일로,승용차,소형,보행자,보행자,1,0,1,0,0
김포시,2012,2012-12-13 06시,주간,목요일,차대사람,횡단중,안전운전 의무 불이행,교차로,교차로내,승용차,경형,보행자,보행자,1,0,1,0,0
평택시,2012,2012-12-13 01시,야간,목요일,차대차,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,화물차,대형,1,0,2,0,1
용인시,2012,2012-12-12 19시,야간,수요일,차대사람,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,1,0,1,0,0
시흥시,2012,2012-12-12 13시,주간,수요일,차대차,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,소형,승합차,대형,1,1,5,0,3
의정부시,2012,2012-12-12 07시,주간,수요일,차대사람,횡단중,안전운전 의무 불이행,교차로,교차로내,승용차,중형,보행자,보행자,1,0,1,0,0
남양주시,2012,2012-12-12 06시,주간,수요일,차대차,기타,안전운전 의무 불이행,교차로,교차로부근,화물차,소형,특수차,소형,1,2,3,0,0
하남시,2012,2012-12-11 05시,야간,화요일,차대차,진행중 추돌,안전운전 의무 불이행,단일로,기타단일로,승합차,소형,화물차,소형,1,0,7,6,0
오산시,2012,2012-12-11 04시,야간,화요일,차대차,측면충돌,안전운전 의무 불이행,단일로,기타단일로,화물차,중형,자전거,자전거,1,0,1,0,0
안성시,2012,2012-12-10 18시,야간,월요일,차대사람,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,소형,보행자,보행자,1,0,1,0,0
화성시,2012,2012-12-10 12시,주간,월요일,차대사람,기타,신호위반,교차로,교차로내,승합차,중형,보행자,보행자,1,0,1,0,0
안산시,2012,2012-12-09 15시,주간,일요일,차대사람,기타,기타(운전자법규위반),단일로,기타단일로,승용차,중형,보행자,보행자,1,1,3,0,1
양평군,2012,2012-12-08 17시,주간,토요일,차대차,기타,보행자 보호의무 위반,단일로,횡단보도상,승용차,대형,승용차,대형,1,0,1,0,0
광명시,2012,2012-12-08 09시,주간,토요일,차대사람,기타,안전운전 의무 불이행,단일로,기타단일로,승합차,대형,보행자,보행자,1,0,1,0,0
안산시,2012,2012-12-08 05시,야간,토요일,차대사람,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,1,0,1,0,0
화성시,2012,2012-12-07 16시,주간,금요일,차량단독,전도전복,안전운전 의무 불이행,기타/불명,기타/불명,건설기계,건설기계,없음,없음,1,0,1,0,0
부천시,2012,2012-12-07 01시,야간,금요일,차대차,기타,차로위반(진로변경 위반),교차로,교차로내,승용차,경형,승용차,소형,1,0,2,0,1
고양시,2012,2012-12-06 09시,주간,목요일,차대사람,기타,안전운전 의무 불이행,단일로,횡단보도부근,승합차,대형,보행자,보행자,1,0,1,0,0
안양시,2012,2012-12-05 19시,야간,수요일,차대사람,길가장자리구역통행중,안전운전 의무 불이행,교차로,교차로부근,승합차,대형,보행자,보행자,1,0,1,0,0
양주시,2012,2012-12-05 06시,주간,수요일,차량단독,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,없음,없음,1,0,1,0,0
화성시,2012,2012-12-04 15시,주간,화요일,차대사람,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,1,0,1,0,0
양주시,2012,2012-12-04 14시,주간,화요일,차대사람,횡단중,신호위반,교차로,교차로내,건설기계,건설기계,보행자,보행자,1,1,2,0,0
안양시,2012,2012-12-04 11시,주간,화요일,차대차,측면충돌,신호위반,교차로,교차로내,원동기장치자전거,원동기장치자전거,승용차,소형,1,0,1,0,0
용인시,2012,2012-12-04 09시,주간,화요일,차대사람,횡단중,안전운전 의무 불이행,교차로,교차로내,화물차,소형,보행자,보행자,1,0,1,0,0
안성시,2012,2012-12-04 01시,야간,화요일,차량단독,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,없음,없음,1,0,1,0,0
이천시,2012,2012-12-03 23시,야간,월요일,차량단독,공작물충돌,안전운전 의무 불이행,교차로,교차로부근,승용차,소형,없음,없음,1,0,1,0,0
용인시,2012,2012-12-03 22시,야간,월요일,차대사람,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,1,0,1,0,0
고양시,2012,2012-12-03 20시,야간,월요일,차대사람,차도통행중,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,1,0,1,0,0
